run_number,layers,heads,epochs,train_steps,context_length,embd_dim,batch_size,domain_config,domain_id,experiment_type,use_standard_dataset,debug_mode,status
88,1,2,400,100000,24,16,512,domains.ini,C,comparison,true,false,completed
89,1,2,400,100000,24,32,256,domains.ini,A,comparison,true,false,completed
90,1,2,400,100000,24,32,256,domains.ini,C,comparison,true,false,completed
91,1,2,400,100000,24,32,512,domains.ini,A,comparison,true,false,completed
92,1,2,400,100000,24,32,512,domains.ini,C,comparison,true,false,completed
93,1,2,400,100000,24,64,256,domains.ini,A,comparison,true,false,completed
94,1,2,400,100000,24,64,256,domains.ini,C,comparison,true,false,completed
95,1,2,400,100000,24,64,512,domains.ini,A,comparison,true,false,completed
96,1,2,400,100000,24,64,512,domains.ini,C,comparison,true,false,completed
97,1,2,400,100000,48,16,256,domains.ini,A,comparison,true,false,completed
98,1,2,400,100000,48,16,256,domains.ini,C,comparison,true,false,completed
99,1,2,400,100000,48,16,512,domains.ini,A,comparison,true,false,completed
100,1,2,400,100000,48,16,512,domains.ini,C,comparison,true,false,completed
101,1,2,400,100000,48,32,256,domains.ini,A,comparison,true,false,completed
102,1,2,400,100000,48,32,256,domains.ini,C,comparison,true,false,completed
103,1,2,400,100000,48,32,512,domains.ini,A,comparison,true,false,completed
104,1,2,400,100000,48,32,512,domains.ini,C,comparison,true,false,completed
105,1,2,400,100000,48,64,256,domains.ini,A,comparison,true,false,completed
106,1,2,400,100000,48,64,256,domains.ini,C,comparison,true,false,completed
107,1,2,400,100000,48,64,512,domains.ini,A,comparison,true,false,completed
108,1,2,400,100000,48,64,512,domains.ini,C,comparison,true,false,completed
109,1,2,400,400000,12,16,256,domains.ini,A,comparison,true,false,completed
110,1,2,400,400000,12,16,256,domains.ini,C,comparison,true,false,completed
111,1,2,400,400000,12,16,512,domains.ini,A,comparison,true,false,completed
112,1,2,400,400000,12,16,512,domains.ini,C,comparison,true,false,completed
113,1,2,400,400000,12,32,256,domains.ini,A,comparison,true,false,completed
114,1,2,400,400000,12,32,256,domains.ini,C,comparison,true,false,completed
115,1,2,400,400000,12,32,512,domains.ini,A,comparison,true,false,completed
116,1,2,400,400000,12,32,512,domains.ini,C,comparison,true,false,completed
117,1,2,400,400000,12,64,256,domains.ini,A,comparison,true,false,completed
118,1,2,400,400000,12,64,256,domains.ini,C,comparison,true,false,completed
119,1,2,400,400000,12,64,512,domains.ini,A,comparison,true,false,completed
120,1,2,400,400000,12,64,512,domains.ini,C,comparison,true,false,completed
121,1,2,400,400000,24,16,256,domains.ini,A,comparison,true,false,completed
122,1,2,400,400000,24,16,256,domains.ini,C,comparison,true,false,completed
123,1,2,400,400000,24,16,512,domains.ini,A,comparison,true,false,completed
124,1,2,400,400000,24,16,512,domains.ini,C,comparison,true,false,completed
125,1,2,400,400000,24,32,256,domains.ini,A,comparison,true,false,completed
126,1,2,400,400000,24,32,256,domains.ini,C,comparison,true,false,completed
127,1,2,400,400000,24,32,512,domains.ini,A,comparison,true,false,completed
128,1,2,400,400000,24,32,512,domains.ini,C,comparison,true,false,completed
129,1,2,400,400000,24,64,256,domains.ini,A,comparison,true,false,completed
