model_id,experiment_type,domain_config,domain_id,model_type,num_samples,num_parameters,max_steps,run_number,sequence_length,n_layer,n_head,n_embd,epochs,max_lr,task_id,compile,predict,eval_interval,checkpoint_interval,enforce_data_epochs,batch_size,choice_only,best_val_full_loss,best_val_full_loss_step,best_val_choice_loss,best_val_choice_loss_step,best_val_reward_loss,best_val_reward_loss_step
sweep,comparison,domains.ini,shared_A_C,GPT,35M,14432,35000,32,48,1,1,32,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7500950694084167,35000,0.2736873626708984,350,0.6178836822509766,350
sweep,comparison,domains.ini,shared_A_C,GPT,35M,14432,70200,29,48,1,1,32,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7497414350509644,70200,0.2925814092159271,70200,0.6356416344642639,0
sweep,comparison,domains.ini,shared_A_C,GPT,35M,14432,70200,30,48,1,1,32,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7497414350509644,70200,0.2925814092159271,70200,0.6356416344642639,0
sweep,comparison,domains.ini,shared_A_C,GPT,35M,53440,70200,33,48,1,1,64,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7484203577041626,70200,0.2894081771373749,702,0.6455051302909851,0
sweep,comparison,domains.ini,shared_A_C,GPT,35M,53440,35000,35,48,1,1,64,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7493448257446289,34650,0.2926056683063507,35000,0.6293399930000305,350
sweep,comparison,domains.ini,shared_A_C,GPT,35M,53440,35000,36,48,1,1,64,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7493448257446289,34650,0.2926056683063507,35000,0.6293399930000305,350
sweep,comparison,domains.ini,shared_A_C,GPT,35M,53440,70200,34,48,1,1,64,400,0.0006,,False,False,702,1000000.0,False,256,False,0.7484203577041626,70200,0.2894081771373749,702,0.6455051302909851,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,3568,37800,39,12,1,1,16,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7609120011329651,37800,0.2450179904699325,378,0.6527904272079468,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,3568,37800,40,12,1,1,16,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7609120011329651,37800,0.2450179904699325,378,0.6527904272079468,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,13280,37800,43,12,1,1,32,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7599889039993286,37800,0.2684318721294403,378,0.6217478513717651,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,3568,75800,37,12,1,1,16,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7609156966209412,75800,0.2839820981025696,758,0.6544535756111145,0
